:Data_list: ace_swepam_1m.txt
:Created: 2016 Jan 21 0034 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2016 01 20  2234   57407   81240    0        7.1      371.7     5.93e+04
2016 01 20  2235   57407   81300    0       10.3      364.7     4.74e+04
2016 01 20  2236   57407   81360    1       11.0      378.2     1.28e+05
2016 01 20  2237   57407   81420    1       12.6      378.7     1.35e+05
2016 01 20  2238   57407   81480    0       13.1      367.7     8.00e+04
2016 01 20  2239   57407   81540    0       14.3      366.5     8.22e+04
2016 01 20  2240   57407   81600    0       18.0      363.8     8.47e+04
2016 01 20  2241   57407   81660    0       13.8      354.9     5.17e+04
2016 01 20  2242   57407   81720    0       14.5      362.6     1.00e+05
2016 01 20  2243   57407   81780    0       16.1      363.5     7.23e+04
2016 01 20  2244   57407   81840    0       37.4      343.9     1.13e+04
2016 01 20  2245   57407   81900    9    -9999.9    -9999.9    -1.00e+05
2016 01 20  2246   57407   81960    1        7.8      360.1     8.66e+04
2016 01 20  2247   57407   82020    1       13.7      365.2     1.16e+05
2016 01 20  2248   57407   82080    0       14.1      362.0     7.46e+04
2016 01 20  2249   57407   82140    0       15.0      349.6     3.48e+04
2016 01 20  2250   57407   82200    0       15.0      361.4     9.59e+04
2016 01 20  2251   57407   82260    0       14.7      369.2     1.10e+05
2016 01 20  2252   57407   82320    0       10.1      357.5     6.16e+04
2016 01 20  2253   57407   82380    0        9.9      358.3     7.49e+04
2016 01 20  2254   57407   82440    0       12.6      366.1     9.70e+04
2016 01 20  2255   57407   82500    0       13.1      367.0     8.83e+04
2016 01 20  2256   57407   82560    0       14.2      370.2     1.03e+05
