:Data_list: wingkp_list.txt
:Created: 2016 Jan 04 0601 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center.
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
#
# Units: Predicted Index 0-9 in Kp units
#
# Solar Wind Source: ACE Satellite.  Wing Kp data provided by USAF AFWA.
# The value -1 in the report indicates missing data.
#
#                      USAF 15-minute Wing Kp Geomagnetic Activity Index
#
#                        1-hour         1-hour        4-hour         4-hour     
# UT Date   Time      Predicted Time  Predicted    Predicted Time  Predicted   USAF Est.
# YR MO DA  HHMM      YR MO DA  HHMM    Index      YR MO DA  HHMM    Index        Kp    
#---------------------------------------------------------------------------------------
2015 12 28  0600    2015 12 28  0700     1.00    2015 12 28  1000     1.00       0.33
2015 12 28  0615    2015 12 28  0714     1.00    2015 12 28  1014     0.67       0.33
2015 12 28  0630    2015 12 28  0730     1.00    2015 12 28  1030     0.67       0.33
2015 12 28  0645    2015 12 28  0745     1.00    2015 12 28  1045     0.67       0.33
2015 12 28  0700    2015 12 28  0759     1.00    2015 12 28  1059     0.67       0.33
2015 12 28  0715    2015 12 28  0815     1.00    2015 12 28  1115     0.67       0.33
2015 12 28  0730    2015 12 28  0830     1.00    2015 12 28  1130     0.67       0.33
2015 12 28  0745    2015 12 28  0844     0.67    2015 12 28  1144     0.33       0.33
2015 12 28  0800    2015 12 28  0900     0.67    2015 12 28  1200     0.67       0.33
2015 12 28  0815    2015 12 28  0915     0.67    2015 12 28  1215     0.67       0.33
2015 12 28  0830    2015 12 28  0929     1.00    2015 12 28  1229     0.67       0.33
2015 12 28  0845    2015 12 28  0945     0.33    2015 12 28  1245     0.67       0.33
2015 12 28  0900    2015 12 28  1000     0.67    2015 12 28  1300     0.67       1.00
2015 12 28  0915    2015 12 28  1014     0.67    2015 12 28  1314     0.67       1.00
2015 12 28  0930    2015 12 28  1030     0.67    2015 12 28  1330     0.67       1.00
2015 12 28  0945    2015 12 28  1045     1.33    2015 12 28  1345     1.00       1.00
2015 12 28  1000    2015 12 28  1059     1.33    2015 12 28  1359     1.00       1.00
2015 12 28  1015    2015 12 28  1115     1.33    2015 12 28  1415     1.33       1.00
2015 12 28  1030    2015 12 28  1130     1.33    2015 12 28  1430     1.00       1.00
2015 12 28  1045    2015 12 28  1144     1.00    2015 12 28  1444     1.00       1.00
2015 12 28  1100    2015 12 28  1200     1.00    2015 12 28  1500     1.00       1.00
2015 12 28  1115    2015 12 28  1215     1.00    2015 12 28  1515     0.67       1.00
2015 12 28  1130    2015 12 28  1229     1.00    2015 12 28  1529     0.67       1.00
2015 12 28  1145    2015 12 28  1245     1.00    2015 12 28  1545     0.67       1.00
2015 12 28  1200    2015 12 28  1300     1.00    2015 12 28  1600     0.67       1.00
2015 12 28  1215    2015 12 28  1314     1.00    2015 12 28  1614     0.67       1.00
2015 12 28  1230    2015 12 28  1330     1.00    2015 12 28  1630     0.67       1.00
2015 12 28  1245    2015 12 28  1345     2.00    2015 12 28  1645     1.67       1.00
2015 12 28  1300    2015 12 28  1359     1.67    2015 12 28  1659     1.33       1.00
2015 12 28  1315    2015 12 28  1415     1.67    2015 12 28  1715     1.33       1.00
2015 12 28  1330    2015 12 28  1430     1.33    2015 12 28  1730     1.33       1.00
2015 12 28  1345    2015 12 28  1444     1.33    2015 12 28  1744     1.00       1.00
2015 12 28  1400    2015 12 28  1500     1.33    2015 12 28  1800     1.00       1.00
2015 12 28  1415    2015 12 28  1515     1.33    2015 12 28  1815     1.00       1.00
2015 12 28  1430    2015 12 28  1529     1.33    2015 12 28  1829     1.00       1.00
2015 12 28  1445    2015 12 28  1545     1.67    2015 12 28  1845     1.00       1.00
2015 12 28  1500    2015 12 28  1600     1.67    2015 12 28  1900     1.00       0.33
2015 12 28  1515    2015 12 28  1614     1.33    2015 12 28  1914     1.00       0.33
2015 12 28  1530    2015 12 28  1630     1.33    2015 12 28  1930     0.67       0.33
2015 12 28  1545    2015 12 28  1645     1.33    2015 12 28  1945     0.67       0.33
2015 12 28  1600    2015 12 28  1659     1.33    2015 12 28  1959     0.67       0.33
2015 12 28  1615    2015 12 28  1715     1.33    2015 12 28  2015     0.67       0.33
2015 12 28  1630    2015 12 28  1730     1.33    2015 12 28  2030     0.67       0.33
2015 12 28  1645    2015 12 28  1744     0.67    2015 12 28  2044     0.33       0.33
2015 12 28  1700    2015 12 28  1800     1.00    2015 12 28  2100     0.33       0.33
2015 12 28  1715    2015 12 28  1815     1.00    2015 12 28  2115     0.33       0.33
2015 12 28  1730    2015 12 28  1829     1.00    2015 12 28  2129     0.33       0.33
2015 12 28  1745    2015 12 28  1845     0.33    2015 12 28  2145     0.00       0.33
2015 12 28  1800    2015 12 28  1900     0.67    2015 12 28  2200     0.00       0.00
2015 12 28  1815    2015 12 28  1914     0.67    2015 12 28  2214     0.00       0.00
2015 12 28  1830    2015 12 28  1930     0.67    2015 12 28  2230     0.00       0.00
2015 12 28  1845    2015 12 28  1945     0.33    2015 12 28  2245     0.00       0.00
2015 12 28  1900    2015 12 28  1959     0.33    2015 12 28  2259     0.00       0.00
2015 12 28  1915    2015 12 28  2015     0.33    2015 12 28  2315     0.00       0.00
2015 12 28  1930    2015 12 28  2030     0.33    2015 12 28  2330     0.00       0.00
2015 12 28  1945    2015 12 28  2044     0.33    2015 12 28  2344     0.00       0.00
2015 12 28  2000    2015 12 28  2100     0.33    2015 12 29  0000     0.00       0.00
2015 12 28  2015    2015 12 28  2115     0.33    2015 12 29  0015     0.00       0.00
2015 12 28  2030    2015 12 28  2129     0.33    2015 12 29  0029     0.00       0.00
2015 12 28  2045    2015 12 28  2145     0.00    2015 12 29  0045     0.00       0.00
2015 12 28  2100    2015 12 28  2200     0.33    2015 12 29  0100     0.00       0.67
2015 12 28  2115    2015 12 28  2214     0.33    2015 12 29  0114     0.00       0.67
